Model,C_index,CI_low,CI_high
4-gene LASSO,0.6217814294063048,0.5634670670381271,0.6800957917744824
10-gene CRC-MMIS (Run 1),0.6556625025599017,0.5957084147285551,0.7156165903912483
10-gene CRC-MMIS (Run 2),0.6646323981159123,0.6006513771551587,0.728613419076666
